County,% Pop. Receiveing Reimbursements (2010),% Pop. Receiveing Reimbursements (2012),% Pop. Receiveing Reimbursements (2014)
Adams County,37.82298158392269,39.49150151632696,43.863515194597475
Allen County,9.157385215470653,9.889358469063108,9.639426741881385
Ashland County,15.677338284664003,16.536142881289088,15.539779130042822
Ashtabula County,11.054894766948735,11.262730546328715,11.331624828476874
Athens County,15.981049048619308,15.330082810927948,15.662930393856826
Auglaize County,19.173996342419226,20.96622991562929,19.936764064544267
Belmont County,15.22227594641486,15.467160834338909,15.330909930182909
Brown County,23.73100405543919,23.177599567489636,24.309793334996936
Butler County,2.958995117563225,2.922695473639623,2.8675783436113442
Carroll County,31.077189939288814,34.659110784622385,33.61004682843763
Champaign County,23.894158761857216,25.208470207712136,25.699595845909855
Clark County,7.7615826973850774,7.787303531332925,7.70826613494414
Clermont County,5.205656827240173,5.425839001982982,5.157107727464666
Clinton County,24.835930601627567,24.16084919192885,24.015399698701547
Columbiana County,9.740584843034359,10.057603578375636,10.228015497854361
Coshocton County,24.916727597692745,27.508283991525882,27.513126230584117
Crawford County,21.503312771304547,24.778182497431587,24.066350934238116
Cuyahoga County,0.8110607153417829,0.826004198762495,0.7953335354134894
Darke County,17.873192099996224,19.062404754647975,18.19957488366749
Defiance County,25.88036723525049,25.78742692317598,24.77104682838241
Delaware County,5.203599241784091,5.251534826200256,4.93971957185575
Erie County,14.175190819876422,13.615852462232686,13.54051346934472
Fairfield County,7.072017922517896,7.2413559322033905,6.949871089493128
Fayette County,31.28942198324889,36.59060961231708,33.856291182930654
Franklin County,0.8558168884514448,0.8387328412544671,0.7880731772970063
Fulton County,21.075233491340875,21.351173089607087,22.272086466165415
Gallia County,33.28080275303123,33.85857406867036,33.71230845279288
Geauga County,10.691958550997688,10.820140205834097,10.116549621240292
Greene County,6.041630571987229,5.955443647709234,6.101495148816214
Guernsey County,24.303911060149062,24.997489707801986,25.938273475779162
Hamilton County,1.1902269021942353,1.2210747252363752,1.2297887114373574
Hancock County,10.739486122082825,11.761284010682461,11.10639426903688
Hardin County,31.195289866359303,33.36072568665255,32.03046324269889
Harrison County,68.87542597500946,71.96714003693562,74.73305030232858
Henry County,34.026888604353395,34.91842986393104,34.09473948434755
Highland County,23.030177949000183,24.018218153088256,25.24721521039346
Hocking County,34.756345866702866,37.21676221676222,35.12290230485342
Holmes County,20.56932966023875,19.83865733228244,19.707579662872654
Huron County,17.81026553425761,17.159833229242274,17.220621088354168
Jackson County,35.13960268085234,33.048710079309615,32.2528511313045
Jefferson County,17.306863561927198,17.83247483025053,18.076917394323537
Knox County,15.178352186226201,16.938641223885508,16.444152862063312
Lake County,4.584898441847524,4.539490604117537,4.545256365538891
Lawrence County,17.829792688006666,17.96213414045143,18.324454261954262
Licking County,5.678437769887727,5.63884004410932,5.400638284065905
Logan County,20.013110455588333,19.646157908634805,20.429587982078537
Lorain County,3.7373784282245546,3.726685427708667,3.6732614696989616
Lucas County,2.4729884888273914,2.565111464421746,2.4802762816102932
Madison County,22.65111884405319,23.086948426736175,22.286936342539928
Mahoning County,4.543490571973908,4.6510049750399745,4.583438736703097
Marion County,16.125440154091553,16.73436108049344,16.99616181308639
Medina County,5.782906290026254,5.8628770822656895,5.646119643151593
Meigs County,43.7650132748957,46.04270824506398,42.14925629045394
Mercer County,20.24813652412711,22.068543451652385,22.14922456954451
Miami County,9.527898670934249,9.931815757058475,9.662960255473047
Monroe County,62.23334933808903,67.83509397722595,68.57043959847698
Montgomery County,1.9549921020780767,1.990117675222371,1.9162581292525314
Morgan County,63.10408921933085,64.79353200588,69.0518057622075
Morrow County,29.30380837497846,28.365549582523165,31.460001709937586
Muskingum County,10.82115518441197,11.398360350288803,12.041872637394592
Noble County,65.17698510318436,70.10903106356716,70.76869565217392
Ottawa County,24.43832439483983,25.811605781102475,24.193666349740365
Paulding County,50.48781733667058,50.90295796574987,54.00399873724086
Perry County,25.208824753711667,28.718290683782055,30.073008972858496
Pickaway County,18.572223318916784,19.788374818023648,18.927778365232104
Pike County,40.17123764443826,42.863160850944325,41.4532333380501
Portage County,6.587178693093837,6.55590452650424,6.4576032772321215
Preble County,25.043865888936313,25.76886341929322,25.43832222997186
Putnam County,25.853163087637842,27.435724940770424,28.63992515495264
Richland County,7.5353938827773925,7.848111591483809,7.730986285189317
Ross County,14.745387264881751,14.74979978816296,14.547859579048387
Sandusky County,16.43833366187003,15.716127752430072,15.715597095885839
Scioto County,16.55873957927297,16.855419540376147,17.71703431689467
Seneca County,14.929537668208951,16.283593275991294,15.334397474756534
Shelby County,18.48674737888098,18.494698064437344,18.937861419317926
Stark County,2.675313606945961,2.690184548314199,2.6791776612712113
Summit County,1.878066881556065,1.9184918214582756,1.8494579238640743
Trumbull County,5.278556044751939,5.4332573021299995,5.3975833170921845
Tuscarawas County,9.97515125324114,10.407562843421452,10.406209182076276
Union County,17.508012820512818,20.026876632471517,19.23628040270205
Van Wert County,31.72620708903154,34.852864356608045,33.94163150492264
Vinton County,83.12336936265375,74.3878476420798,78.27241013195814
Warren County,4.819909053018063,4.772071923154628,4.612451319774989
Washington County,17.106094734965726,17.187042638306178,16.418837216902514
Wayne County,8.032647924986673,8.255899865270113,7.698020657017514
Williams County,25.757293193019848,25.420072963544854,23.097789595251523
Wood County,8.00149278619014,7.648764860935082,7.618775529113806
Wyandot County,39.23512747875354,42.05797742863465,42.98634430266398
