County,Population Est. 2016
Adams,28550
Allen,106331
Ashland,53139
Ashtabula,101497
Athens,64757
Auglaize,45949
Belmont,70400
Brown,44846
Butler,368130
Carroll,28836
Champaign,40097
Clark,138333
Clermont,197363
Clinton,42040
Columbiana,107841
Coshocton,36901
Crawford,43784
Cuyahoga,1280122
Darke,52959
Defiance,39037
Delaware,174214
Erie,77079
Fairfield,146156
Fayette,29030
Franklin,1163414
Fulton,42698
Gallia,30934
Geauga,93389
Greene,161573
Guernsey,40087
Hamilton,802374
Hancock,74782
Hardin,32058
Harrison,15864
Henry,28215
Highland,43589
Hocking,29380
Holmes,42366
Huron,59626
Jackson,33225
Jefferson,69709
Knox,60921
Lake,230041
Lawrence,62450
Licking,166492
Logan,45858
Lorain,301356
Lucas,441815
Madison,43435
Mahoning,238823
Marion,66501
Medina,176395
Meigs,23770
Mercer,40814
Miami,102506
Monroe,14642
Montgomery,535153
Morgan,15054
Morrow,34827
Muskingum,86074
Noble,14645
Ottawa,41428
Paulding,19614
Perry,36058
Pickaway,55698
Pike,28709
Portage,161419
Preble,42270
Putnam,34499
Richland,124475
Ross,78064
Sandusky,60944
Scioto,79499
Seneca,56745
Shelby,49423
Stark,375586
Summit,541781
Trumbull,210312
Tuscarawas,92582
Union,52300
VanWert,28744
Vinton,13435
Warren,212693
Washington,61778
Wayne,114520
Williams,37642
Wood,125488
Wyandot,22615
